customer_tweet_id,customer_text,rough_intent,requests_escalation,top1_similarity_score,decision,decision_reason
1655125,"@AmazonHelp  #408-3443578-8174720. Is this order coming ? payment deducted but the wbste says ""problem with payment""?",Refund / Billing / Charge Dispute,False,0.7076215744018555,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
947699,@115850 since last 3 days 3 times rescheduling of pick up order has been done. But no one turns up at my site to collect 2/5,General Inquiry / Feedback,False,0.7239185571670532,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
894298,Got some facial cleasing balm I didn't order with the candy I ordered from @115821. https://t.co/D7TI3VYY1c,General Inquiry / Feedback,False,0.4359869062900543,ESCALATE,Weak historical grounding (top1_similarity_score=0.436 < 0.65).
2692716,@756892 @115830 I sent them a message through the customer services thing. Let's see if they confirm my guess that it was no longer in stock but still on the site.,Marketplace / Seller / Pricing Issue,False,0.798933744430542,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
2236437,@AmazonHelp yes. By email and your link both. Also chat. No update till now,App / Digital Content / Technical Issue,False,0.8147562146186829,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
105010,"@AmazonHelp I clicked the link, it's the exact same image I sent you. Thanks for the help!",App / Digital Content / Technical Issue,False,0.7391130924224854,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
1211737,@115850 i am fade up your service.. this is my tracking 663407513,Delivery Delay / Non-Delivery,False,0.7797313928604126,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
888349,@AmazonHelp Received a mail stating that it was a pricing issue. Now what should i do for that? That's not my concern. It was published in your merchandise and i did a spot CC transaction. I need the product and i don't want to hear your silly excuses.,Marketplace / Seller / Pricing Issue,False,0.670215368270874,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
2346293,@AmazonHelp No. And it seems that the tv I tried to buy over a week ago went up in price for your ‘black Friday’ sae,Marketplace / Seller / Pricing Issue,False,0.5884160995483398,ESCALATE,Weak historical grounding (top1_similarity_score=0.588 < 0.65).
2113048,"@115850 order NO. 405-0450770-7257116 date 13/09/17 ,invoice no-sjab-4673, i want this bill with my GST NUMBER- 27AKEPK2419D1ZJ ,SACHIN",General Inquiry / Feedback,False,0.6796000003814697,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
2634819,"@AmazonHelp Well, they did. But at the same time I was getting contradicting answers from your staff. Some of them told me my delivery was missorted by the carrier and will never be delivered. That makes sense because the carrier DHLPL says they do not have it.",Delivery Delay / Non-Delivery,False,0.6610063314437866,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
2318799,"@115850 in having trouble with my accounts, Prime and login who should I write too, how does get it resolved.",Account Access Issue,False,0.6514474153518677,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
986048,What kind of offers are these? Increasing the official price and reducing to show discounts? @115850 https://t.co/swfgvagZtN,Marketplace / Seller / Pricing Issue,False,0.584559440612793,ESCALATE,Weak historical grounding (top1_similarity_score=0.585 < 0.65).
867348,@115821 can you tell me why I pay for prime when the last three things I’ve ordered with two days shipping have taken 4+ days to get here?,Delivery Delay / Non-Delivery,False,0.8740553855895996,AUTO-HANDLE,Clear intent match with reasonably strong historical precedent.
