customer_tweet_id,customer_text,amazon_reply_text,intent_confirmed,drafted_reply,top1_similarity_score
1655125,"@AmazonHelp  #408-3443578-8174720. Is this order coming ? payment deducted but the wbste says ""problem with payment""?",@496193 we consider it to be personal information. Our page is visible to the public. 3/3 ^AH,Refund / Billing / Charge Dispute,"@AmazonHelp I'd like to check this for you. Please write to us here: https://t.co/GIJyeYqKE0, I'll reach out to you. ^SA 1/2",0.7076215744018555
947699,@115850 since last 3 days 3 times rescheduling of pick up order has been done. But no one turns up at my site to collect 2/5,@268374 Sorry for the trouble with your return. I'd like to help. Please write to us (1/2)^SQ,Delivery Delay / Non-Delivery,@115850 Sorry for the trouble you've had. Have you escalated this to our support team here: https://t.co/2t6DQoUmNZ for assistance?^MM,0.7239185571670532
894298,Got some facial cleasing balm I didn't order with the candy I ordered from @115821. https://t.co/D7TI3VYY1c,@332335 How odd! Select your order and then follow the prompts for a return label for the extra item here: https://t.co/ObAdRMvfD7 ^DW,Wrong / Missing / Damaged Item,"@115821 We never intend to do that. Our sincere apologies. Please reach our support team here: https://t.co/vlvfJr4nN9. We'll get this right. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^AR",0.4359869062900543
2692716,@756892 @115830 I sent them a message through the customer services thing. Let's see if they confirm my guess that it was no longer in stock but still on the site.,"@756891 I'm sorry for the delay! W/o posting account into, would you be able to link us to what was ordered so we can take a look? ^DD",General Inquiry / Feedback,"@756892 @115830 I'm sorry for the inconvenience. Let me check the inventory status for you. In the meantime, please connect with our support team here: https://t.co/R3EfhzgU8B",0.798933744430542
2236437,@AmazonHelp yes. By email and your link both. Also chat. No update till now,"@274981 I get your concern, Anup. Kindly share your details here: https://t.co/GIJyeYqKE0 and we'll assist you accordingly. ^GD",General Inquiry / Feedback,@AmazonHelp You may respond to that email and our specialist team will be getting back to you. Appreciate your understanding.,0.8147562146186829
105010,"@AmazonHelp I clicked the link, it's the exact same image I sent you. Thanks for the help!","@139200 I am sorry for your frustration! I am not seeing who the carrier is by your screenshot, can you let us know?",Delivery Delay / Non-Delivery,@AmazonHelp Thanks for confirming. Were these sold by Amazon or a third-party seller?,0.7391130924224854
1211737,@115850 i am fade up your service.. this is my tracking 663407513,"@404405 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^BV",Delivery Delay / Non-Delivery,What does the latest tracking update state here: https://t.co/aaDyEz1VgE? ^AB,0.7797313928604126
888349,@AmazonHelp Received a mail stating that it was a pricing issue. Now what should i do for that? That's not my concern. It was published in your merchandise and i did a spot CC transaction. I need the product and i don't want to hear your silly excuses.,@330925 I get you being upset. Kindly reply to the mail sent to you by our team here: https://t.co/8DAc10S7ww. Appreciate your understanding ^MN,Marketplace / Seller / Pricing Issue,Reach us via phone so we can research this charge in real-time: https://t.co/JzP7hlA23B Let us know if we can assist further! ^KN,0.670215368270874
2346293,@AmazonHelp No. And it seems that the tv I tried to buy over a week ago went up in price for your ‘black Friday’ sae,@678411 Sorry to hear this. Please reach out to us here: https://t.co/zYVX1Qi29G (No login required) and we can look into this. ^PK,Marketplace / Seller / Pricing Issue,"I get you're upset with the change in price. However, as mentioned above, we don't have an option of price match. ^HA",0.5884160995483398
2113048,"@115850 order NO. 405-0450770-7257116 date 13/09/17 ,invoice no-sjab-4673, i want this bill with my GST NUMBER- 27AKEPK2419D1ZJ ,SACHIN","@623096 &amp; we'll assist you further. Also, please don't provide your order details, as we consider 2/3 ^EM",Refund / Billing / Charge Dispute,@115850 You can download the invoice for order 405-0450770-7257116 here: https://t.co/invoiceXYZ (1/2),0.6796000003814697
2634819,"@AmazonHelp Well, they did. But at the same time I was getting contradicting answers from your staff. Some of them told me my delivery was missorted by the carrier and will never be delivered. That makes sense because the carrier DHLPL says they do not have it.","@743836 I am sorry this is happening! When you have a moment, please reach out to us here so that we can have a specilaist take a look into this for you: https://t.co/SsKYkxOQPg ^SM",Delivery Delay / Non-Delivery,@AmazonHelp Which carrier is assigned to your order? You can check here: https://t.co/Y5jpI9gRhE ^BH,0.6610063314437866
2318799,"@115850 in having trouble with my accounts, Prime and login who should I write too, how does get it resolved.","@672157 Sorry to hear that you had trouble logging-in to your account, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SU",Account Access Issue,@115850 Please connect with us here: https://t.co/vlvfJr4nN9 so we can resolve your account and Prime issues. ^SB,0.6514474153518677
986048,What kind of offers are these? Increasing the official price and reducing to show discounts? @115850 https://t.co/swfgvagZtN,@132467 Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer you (1/2) ^GS,Marketplace / Seller / Pricing Issue,@123456 We're unable to access the link you've provided. Kindly help us with a correct link. ^SU,0.584559440612793
867348,@115821 can you tell me why I pay for prime when the last three things I’ve ordered with two days shipping have taken 4+ days to get here?,@325949 I am sorry about that! What was the delivery date for each order? You can view the details here: https://t.co/Y5jpI9gRhE ^SH,Delivery Delay / Non-Delivery,@123457 Hi! Could you confirm the delivery date that was provided in your order confirmation email? You can find it here: https://t.co/Y5jpI9gRhE? ^AL,0.8740553855895996
169630,Yet again my @115821 account has been hacked by someone else... 2 times in 6 months this has happened to me! Maybe it’s time to get Better protection @115821. I will not be using them EVER again!!!,"@155503 I'm very sorry about the frustration with your account! We'd like to look into this further. When you have a free moment, please reach out to us here: https://t.co/jzvkhdlrK5 ^HM",Account Access Issue,@123458 Sorry to hear about the security issue. Could you let us know which email address is currently registered to your account? You can also review our security guide here: https://t.co/nUUp5MLhYl ^NV,0.7126933932304382
339910,"@AmazonHelp do you price match online? i see braun clean/renew refills 3pack for $21 at amazon, and at other sites for $15, same product","@197173 No, Amazon doesn't offer price matching. I'm sorry for any inconvenience. ^AM",Marketplace / Seller / Pricing Issue,@123456 Pricing is set by the seller based on manufacturer input. We don't price match. ^VH,0.4563458561897278
340522,@AmazonHelp I had 2 things suppose to be delivered today that we’re out from facility will I get them? It’s for bday party tomorrow!!!,@197331 I'm sorry your order hasn't arrived yet! Who was the carrier for the order? Check : https://t.co/kjLhthICw2. Let us know! ^KJ,Delivery Delay / Non-Delivery,@123456 Great question! Deliveries can be made up until 21:00! Please let us know if you don't receive yours by this time. ^KJ,0.6812238693237305
779948,@AmazonHelp The reordered piece is again a damaged item,@306231 Sorry for the trouble you've had. Kindly revert to the email you've received from our team for further assistance. ^MM,Wrong / Missing / Damaged Item,@123456 I'm sorry your replacement arrived damaged. Please reach us here: https://t.co/hApLpMlfHN ^AG,0.704471230506897
423535,"@10265 I have booked few item from @115850 @AmazonHelp 171 2507067 9234757 order id.
Has been refuse to deliver at home.","@199456 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^MM",Delivery Delay / Non-Delivery,@10265 I'm sorry to hear about the delivery issue. Please contact us here: https://t.co/rS49hgaADF so we can look into your order(s) and arrange a delivery. ^SA 1/2,0.808273196220398
