customer_tweet_id,customer_text,amazon_reply_text,drafted_reply,orig_relevant,orig_concrete_actionable,orig_resolves_forward,orig_overall_quality,draft_relevant,draft_concrete_actionable,draft_resolves_forward,draft_overall_quality
1655125,"@AmazonHelp  #408-3443578-8174720. Is this order coming ? payment deducted but the wbste says ""problem with payment""?",@496193 we consider it to be personal information. Our page is visible to the public. 3/3 ^AH,"@AmazonHelp I'd like to check this for you. Please write to us here: https://t.co/GIJyeYqKE0, I'll reach out to you. ^SA 1/2",No,No,No,Poor,Yes,Yes,No,Acceptable
947699,@115850 since last 3 days 3 times rescheduling of pick up order has been done. But no one turns up at my site to collect 2/5,@268374 Sorry for the trouble with your return. I'd like to help. Please write to us (1/2)^SQ,@115850 Sorry for the trouble you've had. Have you escalated this to our support team here: https://t.co/2t6DQoUmNZ for assistance?^MM,Yes,No,No,Poor,Yes,No,No,Poor
894298,Got some facial cleasing balm I didn't order with the candy I ordered from @115821. https://t.co/D7TI3VYY1c,@332335 How odd! Select your order and then follow the prompts for a return label for the extra item here: https://t.co/ObAdRMvfD7 ^DW,"@115821 We never intend to do that. Our sincere apologies. Please reach our support team here: https://t.co/vlvfJr4nN9. We'll get this right. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^AR",Yes,Yes,Yes,Good,Yes,Yes,No,Acceptable
2692716,@756892 @115830 I sent them a message through the customer services thing. Let's see if they confirm my guess that it was no longer in stock but still on the site.,"@756891 I'm sorry for the delay! W/o posting account into, would you be able to link us to what was ordered so we can take a look? ^DD","@756892 @115830 I'm sorry for the inconvenience. Let me check the inventory status for you. In the meantime, please connect with our support team here: https://t.co/R3EfhzgU8B",Yes,Yes,Yes,Good,No,Yes,No,Poor
2236437,@AmazonHelp yes. By email and your link both. Also chat. No update till now,"@274981 I get your concern, Anup. Kindly share your details here: https://t.co/GIJyeYqKE0 and we'll assist you accordingly. ^GD",@AmazonHelp You may respond to that email and our specialist team will be getting back to you. Appreciate your understanding.,Yes,Yes,Yes,Good,No,No,No,Poor
105010,"@AmazonHelp I clicked the link, it's the exact same image I sent you. Thanks for the help!","@139200 I am sorry for your frustration! I am not seeing who the carrier is by your screenshot, can you let us know?",@AmazonHelp Thanks for confirming. Were these sold by Amazon or a third-party seller?,No,Yes,Yes,Acceptable,Yes,Yes,Yes,Good
1211737,@115850 i am fade up your service.. this is my tracking 663407513,"@404405 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^BV",What does the latest tracking update state here: https://t.co/aaDyEz1VgE? ^AB,No,Yes,No,Poor,Yes,Yes,Yes,Good
888349,@AmazonHelp Received a mail stating that it was a pricing issue. Now what should i do for that? That's not my concern. It was published in your merchandise and i did a spot CC transaction. I need the product and i don't want to hear your silly excuses.,@330925 I get you being upset. Kindly reply to the mail sent to you by our team here: https://t.co/8DAc10S7ww. Appreciate your understanding ^MN,Reach us via phone so we can research this charge in real-time: https://t.co/JzP7hlA23B Let us know if we can assist further! ^KN,Yes,Yes,Yes,Good,Yes,Yes,No,Acceptable
2346293,@AmazonHelp No. And it seems that the tv I tried to buy over a week ago went up in price for your ‘black Friday’ sae,@678411 Sorry to hear this. Please reach out to us here: https://t.co/zYVX1Qi29G (No login required) and we can look into this. ^PK,"I get you're upset with the change in price. However, as mentioned above, we don't have an option of price match. ^HA",Yes,Yes,Yes,Good,Yes,No,Yes,Acceptable
2113048,"@115850 order NO. 405-0450770-7257116 date 13/09/17 ,invoice no-sjab-4673, i want this bill with my GST NUMBER- 27AKEPK2419D1ZJ ,SACHIN","@623096 &amp; we'll assist you further. Also, please don't provide your order details, as we consider 2/3 ^EM",@115850 You can download the invoice for order 405-0450770-7257116 here: https://t.co/invoiceXYZ (1/2),No,No,No,Poor,No,Yes,No,Poor
