customer_tweet_id,customer_text,amazon_reply_text,rough_intent,requests_escalation,intent_confirmed,relevant,concrete_actionable,resolves_forward,overall_quality,notes
1655125,"@AmazonHelp  #408-3443578-8174720. Is this order coming ? payment deducted but the wbste says ""problem with payment""?",@496193 we consider it to be personal information. Our page is visible to the public. 3/3 ^AH,Refund / Billing / Charge Dispute,False,Refund / Billing / Charge Dispute,No,No,No,Poor,Reply appears to be part 3 of a multi-part reply (3/3); earlier parts likely had the real answer but weren't captured by pairing script
947699,@115850 since last 3 days 3 times rescheduling of pick up order has been done. But no one turns up at my site to collect 2/5,@268374 Sorry for the trouble with your return. I'd like to help. Please write to us (1/2)^SQ,General Inquiry / Feedback,False,Delivery Delay / Non-Delivery,Yes,No,Yes,Acceptable,"Multi-part reply (1/2), also relates to a return pickup rather than standard delivery"
894298,Got some facial cleasing balm I didn't order with the candy I ordered from @115821. https://t.co/D7TI3VYY1c,@332335 How odd! Select your order and then follow the prompts for a return label for the extra item here: https://t.co/ObAdRMvfD7 ^DW,General Inquiry / Feedback,False,Wrong / Missing / Damaged Item,Yes,Yes,Yes,Good,"Good example - specific instructions + link, clearly resolves the issue"
2692716,@756892 @115830 I sent them a message through the customer services thing. Let's see if they confirm my guess that it was no longer in stock but still on the site.,"@756891 I'm sorry for the delay! W/o posting account into, would you be able to link us to what was ordered so we can take a look? ^DD",Marketplace / Seller / Pricing Issue,False,General Inquiry / Feedback,Yes,No,Yes,Acceptable,
2236437,@AmazonHelp yes. By email and your link both. Also chat. No update till now,"@274981 I get your concern, Anup. Kindly share your details here: https://t.co/GIJyeYqKE0 and we'll assist you accordingly. ^GD",App / Digital Content / Technical Issue,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,
105010,"@AmazonHelp I clicked the link, it's the exact same image I sent you. Thanks for the help!","@139200 I am sorry for your frustration! I am not seeing who the carrier is by your screenshot, can you let us know?",App / Digital Content / Technical Issue,False,Delivery Delay / Non-Delivery,No,No,No,Poor,"Reply doesn't match customer's message (customer said thanks, reply asks about carrier) - likely pairing mismatch"
1211737,@115850 i am fade up your service.. this is my tracking 663407513,"@404405 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^BV",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,No,No,No,Poor,
888349,@AmazonHelp Received a mail stating that it was a pricing issue. Now what should i do for that? That's not my concern. It was published in your merchandise and i did a spot CC transaction. I need the product and i don't want to hear your silly excuses.,@330925 I get you being upset. Kindly reply to the mail sent to you by our team here: https://t.co/8DAc10S7ww. Appreciate your understanding ^MN,Marketplace / Seller / Pricing Issue,False,Marketplace / Seller / Pricing Issue,Yes,Yes,Yes,Good,
2346293,@AmazonHelp No. And it seems that the tv I tried to buy over a week ago went up in price for your ‘black Friday’ sae,@678411 Sorry to hear this. Please reach out to us here: https://t.co/zYVX1Qi29G (No login required) and we can look into this. ^PK,Marketplace / Seller / Pricing Issue,False,Marketplace / Seller / Pricing Issue,Yes,Yes,Yes,Good,
2113048,"@115850 order NO. 405-0450770-7257116 date 13/09/17 ,invoice no-sjab-4673, i want this bill with my GST NUMBER- 27AKEPK2419D1ZJ ,SACHIN","@623096 &amp; we'll assist you further. Also, please don't provide your order details, as we consider 2/3 ^EM",General Inquiry / Feedback,False,Refund / Billing / Charge Dispute,No,No,No,Poor,"Multi-part fragment (2/3), real answer likely missing"
2634819,"@AmazonHelp Well, they did. But at the same time I was getting contradicting answers from your staff. Some of them told me my delivery was missorted by the carrier and will never be delivered. That makes sense because the carrier DHLPL says they do not have it.","@743836 I am sorry this is happening! When you have a moment, please reach out to us here so that we can have a specilaist take a look into this for you: https://t.co/SsKYkxOQPg ^SM",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
2318799,"@115850 in having trouble with my accounts, Prime and login who should I write too, how does get it resolved.","@672157 Sorry to hear that you had trouble logging-in to your account, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SU",Account Access Issue,False,Account Access Issue,Yes,Yes,Yes,Good,
986048,What kind of offers are these? Increasing the official price and reducing to show discounts? @115850 https://t.co/swfgvagZtN,@132467 Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer you (1/2) ^GS,Marketplace / Seller / Pricing Issue,False,Marketplace / Seller / Pricing Issue,Yes,No,No,Poor,"Fragment (1/2), cuts off before real answer"
867348,@115821 can you tell me why I pay for prime when the last three things I’ve ordered with two days shipping have taken 4+ days to get here?,@325949 I am sorry about that! What was the delivery date for each order? You can view the details here: https://t.co/Y5jpI9gRhE ^SH,Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
169630,Yet again my @115821 account has been hacked by someone else... 2 times in 6 months this has happened to me! Maybe it’s time to get Better protection @115821. I will not be using them EVER again!!!,"@155503 I'm very sorry about the frustration with your account! We'd like to look into this further. When you have a free moment, please reach out to us here: https://t.co/jzvkhdlrK5 ^HM",Account Access Issue,False,Account Access Issue,Yes,Yes,Yes,Good,
339910,"@AmazonHelp do you price match online? i see braun clean/renew refills 3pack for $21 at amazon, and at other sites for $15, same product","@197173 No, Amazon doesn't offer price matching. I'm sorry for any inconvenience. ^AM",Marketplace / Seller / Pricing Issue,False,Marketplace / Seller / Pricing Issue,Yes,Yes,Yes,Good,"Direct, clear answer"
340522,@AmazonHelp I had 2 things suppose to be delivered today that we’re out from facility will I get them? It’s for bday party tomorrow!!!,@197331 I'm sorry your order hasn't arrived yet! Who was the carrier for the order? Check : https://t.co/kjLhthICw2. Let us know! ^KJ,Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
779948,@AmazonHelp The reordered piece is again a damaged item,@306231 Sorry for the trouble you've had. Kindly revert to the email you've received from our team for further assistance. ^MM,Wrong / Missing / Damaged Item,False,Wrong / Missing / Damaged Item,Yes,Yes,Yes,Good,
423535,"@10265 I have booked few item from @115850 @AmazonHelp 171 2507067 9234757 order id.
Has been refuse to deliver at home.","@199456 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^MM",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,No,No,No,Poor,
722113,"@AmazonHelp Explain this. Shipped on a Tuesday but won't deliver till Friday, when originally promised Thursday. It's Prime. Why not 2days https://t.co/XMq4FLuobN","@188699 I'm sorry, we don't have account access via Twitter, but we'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^MV",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
1135235,Hey @119625 when does 'shameless' season 8 release in India on prime video?,@387442 We currently don't have an update. We are constantly adding new content to the library. Do stay tuned for an update. ^BV,App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,No,No,Poor,"Vague 'stay tuned', no real info"
1567094,@AmazonHelp I have send mail already to your qla team but not any response so please help to me I have add money to amazon pay balance so please help me,@414137 we want to ensure that all our customers have an opportunity to order these items. As our prices &amp; product supply change2/3^AH,General Inquiry / Feedback,False,Refund / Billing / Charge Dispute,No,No,No,Poor,Reply doesn't match customer's message - likely pairing mismatch
643864,@AmazonHelp I spoke to your support staff. They said your order would not be replaced. Your amount will be refunded  to your amazon account.,@272846 Request you to share your details here: https://t.co/beaaDm0muc and we'll have this checked. ^GK,Wrong / Missing / Damaged Item,False,Refund / Billing / Charge Dispute,Yes,Yes,Yes,Good,
1720093,@115850 wat kind of sorcery this u charge ur regular customer more. https://t.co/8rcRuCp0qf,@483097 Pricing and offers are decision of the sellers. The constantly changing marketplace and (1/2)^HR,Refund / Billing / Charge Dispute,False,Marketplace / Seller / Pricing Issue,Yes,No,No,Poor,"Fragment (1/2), cuts off"
1188155,"@AmazonHelp AMZL US,   btw I'm partially handicapped which is why it's a big deal, plus big package very visible to potential thieves driving by",@399409 Please provide your details here: https://t.co/5qTaa6abmv and my team will escalate the order to Amazon Logistics. ^EZ,Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
503461,"@AmazonHelp Sure... so, two things: what are ‘external factors’, and how can something be out for delivery for eight hours and not show?! https://t.co/nDu9gvpTo1","@235316 We'd like to look into this for you, but we can't access your account via Twitter. When you have time, please reach out to us over phone or chat so we can discuss what options may be available: https://t.co/hApLpMlfHN ^AR",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
445643,@AmazonHelp @115850 You have charged extra for 11 AM delivery . I had to gift it to someone . I am waiting for it . My order id is 408-7145886-3472365 .Stop doing fake promotions if you dont have stock . Please make sure it is delivered to me in next 2 hours,"@220530 Apologies for the delay in the delivery of your order, please share your details here:
https://t.co/beaaDlIL5C and we'll assist you accordingly. Please don't provide your order details, we consider it to be personal information.Our page is visible to the public. ^SU",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,Also involves an extra delivery charge
744114,@AmazonHelp Then how come I was charged Rs. 3500 for shipping charges.. Please reverse the transaction,@297351 Kindly reply to the same for further updates. (2/2) ^VM,Delivery Delay / Non-Delivery,False,Refund / Billing / Charge Dispute,No,No,No,Poor,"Fragment (2/2), no substance"
1250301,@AmazonHelp Do you have to purchase an echo device to get prime music or just being a amazon prime subscriber is enough??,@413338 Amazon Prime Music will be available to Indian Prime Members exclusively on echo devices starting 10/31 and in near 1/3 ^PS,App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,Fragment marker (1/3) but reply itself has real info
779941,@AmazonHelp The goods got picked up yesterday..however the App still after more than 24 hours does not reflect it,"@306231 Please do not worry Mamta, we'll sort this out and update you soon. ^HN",App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,No,No,Poor,"Vague, no link or timeline"
1066861,"@115830 Prime Now instructions to leave at the door ignored, resulting in us being woken up and the dogs going crazy! Not happy!",@371766 I'm sorry your delivery instructions weren't followed! You can always help us improve by contacting us through the app. ^KJ,General Inquiry / Feedback,False,Delivery Delay / Non-Delivery,Yes,No,No,Poor,"Doesn't address current situation, just future feedback channel"
1372759,"@116439 im having Audio sync problems, any fix?",@439486 I'm sorry for the audio trouble. Have you tried this troubleshooting: https://t.co/Im5KO23JEa? ^RR,General Inquiry / Feedback,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
